event_id,sport,category,event
c5351545-53ca-4c41-bdf4-833d6dd0489b,Tennis,ITF,Handel Tim - Paul Jakub
9ba9515e-5822-49b6-9d35-532bd2ed02ef,Basketball,Cyberbasketball,Phoenix Suns (IanJoe) - Cleveland Cavaliers (Andrik)
3b298235-3f00-4979-8dc5-9dc1d9bed68e,Tennis,ITF,Prechtel Sebastian - Cias Pawel
c821ddb9-225b-4dbe-8470-567ac4fb441e,Tennis,ITF,Nagy Peter - Misolic Filip
7ae2609c-1f06-4a6b-85d7-bb16b2c7c07b,Tennis,ITF,Esteve Lobato Eduard - Ovcharenko Oleksandr
da246605-60b7-46c6-a81d-772f482e33b8,Tennis,ITF,Lazarov Alexandar - Mikrut Luka
c826e20a-9197-47af-8fb4-1986849724ec,Tennis,ITF,Roca Batalla Oriol - Pichler David
ae5abb96-609c-4435-9031-12c65cf291d5,Basketball,Cyberbasketball,Boston Celtics (panteraxball) - Miami Heat (Dyjjx)
6c266fbe-0d30-4b5c-8444-c8897a953ebe,Tennis,ITF,Kirkin Ergi - Fonio Giovanni
7396ae9d-4c6b-4519-b0ce-3242ace36a34,Basketball,Cyberbasketball,Toronto Raptors (ViTOR) - Cleveland Cavaliers (Andrik)
81e11e12-b771-4b7f-83b7-3e580f2c2430,Basketball,Cyberbasketball,Phoenix Suns (IanJoe) - Miami Heat (Dyjjx)
6e19b7af-2076-4569-9bdd-82a50f75a306,Basketball,Cyberbasketball,Boston Celtics (panteraxball) - Toronto Raptors (ViTOR)
14926543-77b6-406c-88e5-8edb99d39637,Tennis,ITF,Giacalone Omar - Picchione Andrea
be06734d-e01b-4bc5-878f-fcccbb14d11e,Tennis,ITF,Jorda Sanchis David - Lopez Montagud Carlos
c0adb4ae-9a35-4774-992f-7f5e14b8028a,Tennis,ITF,Nejedly Pavel - Manzanera Pertusa Alejandro
60e94689-2f84-4e7e-b9c5-8456a562e2e7,Table Tennis,Russia,Zirin Aleksey - Staroverov Vladimir
794d46ac-ced1-4922-a8bc-3bbf0eb8bf69,Table Tennis,Russia,Zelenskiy Roman - Balakin Dmitriy
c0b3596e-6698-471f-b3be-f44cc8809447,Table Tennis,Russia,Gusev Mikhail - Kugurushev Dmitriy
98fadea4-f7c5-4f44-885c-84f6a7e3444e,Table Tennis,Russia,Kulikov Sergey - Meteleshko Igor
f907411c-d76a-4e3f-b408-f3f1d7f616de,Futsal,Romania,Sportul Ciorasti - Odorheiu Secuiesc
7e18166c-94bc-4e99-9a62-b061ce112a54,Volleyball,Bulgaria,Pirin Razlog - Beroe 2016
2e385bb0-1081-49df-a3d5-c1a644e51267,Volleyball,Bulgaria,Slivnishki Geroy Slivnitsa - Levski Sofia
8268a994-9bbc-452b-b71d-626908955f7f,Volleyball,Bulgaria,Slavia Sofia - Dobrudja 07 Dobrich
48fce816-ea72-47c1-b93e-2617525a663d,Volleyball,Bulgaria,Lokomotiv Plovdiv - Neftochimik-2010 Burgas
5d497830-56ee-46e1-abf9-79d53d9fba13,Volleyball,Bulgaria,Montana Volley - Dunav Ruse
8443a140-4e7d-40f8-acf6-4bc91c84f324,Volleyball,Bulgaria,Hebar Pazardzhik - Rakovski 1964
d14eca63-43aa-4a1b-9dd2-ba47a8c0d1cb,Volleyball,Bulgaria,Botev Lukovit - CSKA Sofia
